epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,6368.55,0.82438,0.46739,1.08144,0.83209,0.80779,0.88078,0.66749,1.0057,0.52598,1.26729,0.0090892,0.0090892,0.0090892
140,6414.12,0.81926,0.46025,1.07467,0.84336,0.80424,0.88722,0.67632,0.99442,0.52489,1.25791,0.0090826,0.0090826,0.0090826
141,6459.77,0.82068,0.46175,1.08244,0.83445,0.78671,0.87942,0.66992,0.99786,0.53134,1.26502,0.009076,0.009076,0.009076
142,6505.53,0.80998,0.45852,1.06935,0.8052,0.81696,0.8774,0.66585,0.99908,0.53152,1.26233,0.0090694,0.0090694,0.0090694
143,6551.19,0.80771,0.45701,1.06733,0.83508,0.79629,0.87965,0.66648,0.99677,0.53678,1.26226,0.0090628,0.0090628,0.0090628
144,6596.76,0.81111,0.45968,1.07026,0.82067,0.79428,0.87292,0.66414,0.99206,0.53771,1.25746,0.0090562,0.0090562,0.0090562
145,6642.42,0.80348,0.45551,1.06919,0.82684,0.82207,0.87765,0.67013,0.99934,0.53052,1.26412,0.0090496,0.0090496,0.0090496
146,6688.13,0.79981,0.45387,1.06811,0.80969,0.8297,0.88262,0.6749,0.99769,0.52507,1.26322,0.009043,0.009043,0.009043
147,6733.78,0.80713,0.44805,1.06324,0.81682,0.82584,0.88516,0.67501,0.99191,0.52175,1.25679,0.0090364,0.0090364,0.0090364
148,6779.57,0.80491,0.45157,1.06669,0.82218,0.80673,0.8768,0.66779,0.99325,0.52248,1.26168,0.0090298,0.0090298,0.0090298
149,6825.21,0.81297,0.45532,1.06838,0.84746,0.80508,0.88213,0.67296,0.98909,0.52299,1.25589,0.0090232,0.0090232,0.0090232
150,6870.91,0.80008,0.44549,1.06841,0.85258,0.80331,0.88259,0.67255,0.99441,0.52327,1.26202,0.0090166,0.0090166,0.0090166
151,6916.52,0.80379,0.45068,1.06686,0.83173,0.81385,0.88208,0.67417,0.99019,0.52448,1.26032,0.00901,0.00901,0.00901
152,6962.24,0.80126,0.44716,1.06238,0.83982,0.79196,0.88096,0.67147,0.99039,0.52358,1.26232,0.0090034,0.0090034,0.0090034
153,7007.82,0.80418,0.45113,1.06074,0.84978,0.79497,0.87677,0.67287,0.99247,0.52605,1.26203,0.0089968,0.0089968,0.0089968
154,7053.56,0.8025,0.44667,1.06304,0.83241,0.79445,0.87439,0.66792,0.99885,0.532,1.26808,0.0089902,0.0089902,0.0089902
155,7099.17,0.80658,0.44684,1.06039,0.81728,0.83711,0.88559,0.67256,0.99532,0.52019,1.26506,0.0089836,0.0089836,0.0089836
156,7144.84,0.80239,0.45107,1.06255,0.83161,0.82137,0.8829,0.6706,0.99392,0.52785,1.26189,0.008977,0.008977,0.008977
157,7190.54,0.79997,0.44876,1.06404,0.81404,0.83084,0.88135,0.67064,0.99479,0.52679,1.26337,0.0089704,0.0089704,0.0089704
158,7236.1,0.79153,0.44117,1.05871,0.83331,0.81481,0.88191,0.67093,0.99212,0.52425,1.26143,0.0089638,0.0089638,0.0089638
159,7281.75,0.7939,0.44407,1.05941,0.82076,0.8333,0.88894,0.67939,0.99325,0.51588,1.2643,0.0089572,0.0089572,0.0089572
160,7327.51,0.79555,0.44515,1.05909,0.82558,0.83491,0.88701,0.67974,0.99226,0.51535,1.26371,0.0089506,0.0089506,0.0089506
161,7373.18,0.79427,0.44201,1.06452,0.8655,0.79458,0.88722,0.68021,0.99097,0.51828,1.26003,0.008944,0.008944,0.008944
162,7418.95,0.78933,0.44602,1.05584,0.8392,0.80876,0.88333,0.67449,0.99501,0.5185,1.26272,0.0089374,0.0089374,0.0089374
163,7464.58,0.78644,0.44093,1.06093,0.84862,0.79564,0.88178,0.67577,0.99465,0.52041,1.26527,0.0089308,0.0089308,0.0089308
164,7510.21,0.79622,0.44276,1.0581,0.83475,0.80319,0.88314,0.67509,0.99172,0.5227,1.26425,0.0089242,0.0089242,0.0089242
165,7555.79,0.7862,0.43792,1.05664,0.82406,0.815,0.87846,0.67305,0.99478,0.52759,1.2697,0.0089176,0.0089176,0.0089176
166,7601.48,0.78964,0.44278,1.06048,0.83681,0.79585,0.87784,0.67383,0.98908,0.52598,1.26295,0.008911,0.008911,0.008911
167,7647.08,0.79066,0.43951,1.05181,0.81885,0.81907,0.87507,0.67055,0.99,0.53075,1.26383,0.0089044,0.0089044,0.0089044
168,7692.76,0.78559,0.43879,1.04948,0.81878,0.81892,0.87855,0.67359,0.9908,0.5259,1.26381,0.0088978,0.0088978,0.0088978
169,7738.46,0.7895,0.44134,1.05653,0.83028,0.81587,0.87836,0.67142,0.99196,0.52443,1.26569,0.0088912,0.0088912,0.0088912
170,7784.18,0.78078,0.43292,1.045,0.82598,0.82567,0.88167,0.67478,0.99352,0.52625,1.26565,0.0088846,0.0088846,0.0088846
171,7829.75,0.78671,0.43475,1.05405,0.84314,0.81089,0.88371,0.6779,0.99175,0.52655,1.26464,0.008878,0.008878,0.008878
172,7875.52,0.78598,0.4362,1.05014,0.84218,0.8093,0.88488,0.67947,0.988,0.52301,1.26504,0.0088714,0.0088714,0.0088714
173,7921.15,0.78069,0.43596,1.05015,0.84619,0.80408,0.8831,0.6781,0.98737,0.51652,1.26186,0.0088648,0.0088648,0.0088648
